household,age_band,category,monthly_yen,role,provenance_status
single,60+,beautyFashion,7858,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,<=29,mobile,8729,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,<=29,energy,17643,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,<=29,food,63479,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,<=29,daily,5169,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,<=29,fun,8663,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,<=29,beautyFashion,14345,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,30-39,mobile,8266,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,30-39,energy,21182,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,30-39,food,86839,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,30-39,daily,6167,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,30-39,fun,9080,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,30-39,beautyFashion,19507,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,40-49,mobile,10804,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,40-49,energy,24070,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,40-49,food,102572,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,40-49,daily,6686,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,40-49,fun,10522,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,40-49,beautyFashion,21244,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,50-59,mobile,11856,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,50-59,energy,25242,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,50-59,food,99455,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,50-59,daily,6320,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,50-59,fun,9145,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,50-59,beautyFashion,20039,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,60-69,mobile,9274,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,60-69,energy,25640,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,60-69,food,99134,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,60-69,daily,5596,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,60-69,fun,14276,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,60-69,beautyFashion,16523,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,70+,mobile,6780,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,70+,energy,24909,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,70+,food,89551,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,70+,daily,4474,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,70+,fun,7005,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
multi,70+,beautyFashion,11401,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
